id_num	yr_cde	trm_cde	crs_cde	lead_instructr_id	crs_enrollment
235110	2022	Q1	BA   2331 001	237347	24
234982	2022	Q1	BA   2331 001	237347	24
235111	2022	Q1	BA   2331 001	237347	24
235112	2022	Q1	BA   2331 001	237347	24
234788	2022	Q1	BA   2331 001	237347	24
235113	2022	Q1	BA   2331 001	237347	24
234791	2022	Q1	BA   2331 001	237347	24
234851	2022	Q1	BA   2331 001	237347	24
235114	2022	Q1	BA   2331 001	237347	24
235115	2022	Q1	BA   2331 001	237347	24
235067	2022	Q1	BA   2331 001	237347	24
235116	2022	Q1	BA   2331 001	237347	24
235117	2022	Q1	BA   2331 001	237347	24
234860	2022	Q1	BA   2331 002	237347	16
235062	2022	Q1	BA   2331 002	237347	16
234944	2022	Q1	BA   2331 002	237347	16
234781	2022	Q1	BA   2331 002	237347	16
235118	2022	Q1	BA   2331 002	237347	16
235119	2022	Q1	BA   2331 002	237347	16
235120	2022	Q1	BA   2331 002	237347	16
234933	2022	Q1	BA   2331 002	237347	16
234989	2022	Q1	BA   2331 002	237347	16
235121	2022	Q1	BA   2331 002	237347	16
235122	2022	Q1	BA   2331 002	237347	16
235123	2022	Q1	BA   2331 002	237347	16
235124	2022	Q1	BA   2331 002	237347	16
234799	2022	Q1	BA   2331 002	237347	16
235125	2022	Q1	BA   2331 002	237347	16
234919	2022	Q1	BA   2331 002	237347	16
235126	2022	Q1	BA   2401 001	237348	4
234868	2022	Q1	BA   2401 001	237348	4
234947	2022	Q1	BA   2401 001	237348	4
235127	2022	Q1	BA   2401 001	237348	4
235128	2022	Q1	BA   2442 001	237349	17
235129	2022	Q1	BA   2442 001	237349	17
234694	2022	Q1	BA   2442 001	237349	17
235130	2022	Q1	BA   2442 001	237349	17
234897	2022	Q1	BA   2442 001	237349	17
234931	2022	Q1	BA   2442 001	237349	17
234932	2022	Q1	BA   2442 001	237349	17
234649	2022	Q1	BA   2442 001	237349	17
234934	2022	Q1	BA   2442 001	237349	17
234935	2022	Q1	BA   2442 001	237349	17
234948	2022	Q1	BA   2442 001	237349	17
235131	2022	Q1	BA   2442 001	237349	17
235132	2022	Q1	BA   2442 001	237349	17
235133	2022	Q1	BA   2442 001	237349	17
235134	2022	Q1	BA   2442 001	237349	17
235135	2022	Q1	BA   2442 001	237349	17
235136	2022	Q1	BA   2442 001	237349	17
235137	2022	Q1	BA   2501 001	237350	12
235062	2022	Q1	BA   2501 001	237350	12
235138	2022	Q1	BA   2501 001	237350	12
235139	2022	Q1	BA   2501 001	237350	12
235119	2022	Q1	BA   2501 001	237350	12
234573	2022	Q1	BA   2501 001	237350	12
234933	2022	Q1	BA   2501 001	237350	12
234729	2022	Q1	BA   2501 001	237350	12
234584	2022	Q1	BA   2501 001	237350	12
235116	2022	Q1	BA   2501 001	237350	12
234838	2022	Q1	BA   2501 001	237350	12
235125	2022	Q1	BA   2501 001	237350	12
235101	2022	Q1	BA   2501 101	237344	12
235140	2022	Q1	BA   2501 101	237344	12
235141	2022	Q1	BA   2501 101	237344	12
234844	2022	Q1	BA   2501 101	237344	12
235103	2022	Q1	BA   2501 101	237344	12
235142	2022	Q1	BA   2501 101	237344	12
235143	2022	Q1	BA   2501 101	237344	12
235120	2022	Q1	BA   2501 101	237344	12
234967	2022	Q1	BA   2501 101	237344	12
234850	2022	Q1	BA   2501 101	237344	12
235144	2022	Q1	BA   2501 101	237344	12
235145	2022	Q1	BA   2501 101	237344	12
235146	2022	Q1	BA   2503 001	237350	17
234945	2022	Q1	BA   2503 001	237350	17
234737	2022	Q1	BA   2503 001	237350	17
235106	2022	Q1	BA   2503 001	237350	17
235107	2022	Q1	BA   2503 001	237350	17
234827	2022	Q1	BA   2503 001	237350	17
235110	2022	Q1	BA   2503 001	237350	17
234982	2022	Q1	BA   2503 001	237350	17
235111	2022	Q1	BA   2503 001	237350	17
235112	2022	Q1	BA   2503 001	237350	17
234788	2022	Q1	BA   2503 001	237350	17
235147	2022	Q1	BA   2503 001	237350	17
234836	2022	Q1	BA   2503 001	237350	17
235113	2022	Q1	BA   2503 001	237350	17
234793	2022	Q1	BA   2503 001	237350	17
235148	2022	Q1	BA   2503 001	237350	17
235067	2022	Q1	BA   2503 001	237350	17
235149	2022	Q1	BA   2510 001	237350	18
234944	2022	Q1	BA   2510 001	237350	18
235105	2022	Q1	BA   2510 001	237350	18
235009	2022	Q1	BA   2510 001	237350	18
235150	2022	Q1	BA   2510 001	237350	18
234985	2022	Q1	BA   2510 001	237350	18
235151	2022	Q1	BA   2510 001	237350	18
235152	2022	Q1	BA   2510 001	237350	18
235153	2022	Q1	BA   2510 001	237350	18
234947	2022	Q1	BA   2510 001	237350	18
234968	2022	Q1	BA   2510 001	237350	18
234992	2022	Q1	BA   2510 001	237350	18
234938	2022	Q1	BA   2510 001	237350	18
235154	2022	Q1	BA   2510 001	237350	18
235117	2022	Q1	BA   2510 001	237350	18
235155	2022	Q1	BA   2510 001	237350	18
235156	2022	Q1	BA   2510 001	237350	18
234997	2022	Q1	BA   2510 001	237350	18
235157	2022	Q1	BA   2661 201	237351	16
235158	2022	Q1	BA   2661 201	237351	16
234927	2022	Q1	BA   2661 201	237351	16
234591	2022	Q1	BA   2661 201	237351	16
235159	2022	Q1	BA   2661 201	237351	16
235160	2022	Q1	BA   2661 201	237351	16
234827	2022	Q1	BA   2661 201	237351	16
234931	2022	Q1	BA   2661 201	237351	16
235161	2022	Q1	BA   2661 201	237351	16
235162	2022	Q1	BA   2661 201	237351	16
234595	2022	Q1	BA   2661 201	237351	16
235121	2022	Q1	BA   2661 201	237351	16
235122	2022	Q1	BA   2661 201	237351	16
235163	2022	Q1	BA   2661 201	237351	16
234893	2022	Q1	BA   2661 201	237351	16
235164	2022	Q1	BA   2661 201	237351	16
235146	2022	Q1	BA   2710 001	237343	24
234587	2022	Q1	BA   2710 001	237343	24
234588	2022	Q1	BA   2710 001	237343	24
234599	2022	Q1	BA   2710 001	237343	24
234589	2022	Q1	BA   2710 001	237343	24
235126	2022	Q1	BA   2710 001	237343	24
234590	2022	Q1	BA   2710 001	237343	24
234592	2022	Q1	BA   2710 001	237343	24
234570	2022	Q1	BA   2710 001	237343	24
234593	2022	Q1	BA   2710 001	237343	24
235118	2022	Q1	BA   2710 001	237343	24
234601	2022	Q1	BA   2710 001	237343	24
234594	2022	Q1	BA   2710 001	237343	24
234595	2022	Q1	BA   2710 001	237343	24
235165	2022	Q1	BA   2710 001	237343	24
234596	2022	Q1	BA   2710 001	237343	24
234597	2022	Q1	BA   2710 001	237343	24
235166	2022	Q1	BA   2710 001	237343	24
234598	2022	Q1	BA   2710 001	237343	24
234602	2022	Q1	BA   2710 001	237343	24
235135	2022	Q1	BA   2710 001	237343	24
234586	2022	Q1	BA   2710 001	237343	24
234603	2022	Q1	BA   2710 001	237343	24
235167	2022	Q1	BA   2710 001	237343	24
234956	2022	Q1	BA   2710 002	237343	14
235168	2022	Q1	BA   2710 002	237343	14
234980	2022	Q1	BA   2710 002	237343	14
235169	2022	Q1	BA   2710 002	237343	14
234981	2022	Q1	BA   2710 002	237343	14
235150	2022	Q1	BA   2710 002	237343	14
